inst_id,inst_name,module,cell_type,x_um,y_um,area_um2,cap_ff,is_seq,is_clk,is_macro
6591,_32881_,ch_ctrl,AOI22_X1,343.995,172.9,1.33,2.926,0,0,0
6592,_32882_,ch_ctrl,MUX2_X1,376.295,102.9,1.862,4.096,0,0,0
6593,_32883_,ch_ctrl,MUX2_X1,379.335,102.9,1.862,4.096,0,0,0
6594,_32884_,ch_ctrl,MUX2_X1,377.625,102.9,1.862,4.096,0,0,0
6595,_32885_,ch_ctrl,MUX2_X1,378.955,95.9,1.862,4.096,0,0,0
6596,_32886_,ch_ctrl,MUX2_X1,380.855,97.3,1.862,4.096,0,0,0
6597,_32887_,ch_ctrl,MUX2_X1,379.145,97.3,1.862,4.096,0,0,0
6598,_32888_,ch_ctrl,MUX2_X1,378.005,101.5,1.862,4.096,0,0,0
6599,_32889_,ch_ctrl,MUX2_X1,368.125,97.3,1.862,4.096,0,0,0
6600,_32890_,ch_ctrl,MUX2_X1,371.165,97.3,1.862,4.096,0,0,0
6601,_32891_,ch_ctrl,MUX2_X1,369.835,97.3,1.862,4.096,0,0,0
6602,_32892_,ch_ctrl,MUX2_X1,362.995,105.7,1.862,4.096,0,0,0
6603,_32893_,ch_ctrl,MUX2_X1,366.795,102.9,1.862,4.096,0,0,0
6604,_32894_,ch_ctrl,MUX2_X1,368.125,102.9,1.862,4.096,0,0,0
6605,_32895_,ch_ctrl,MUX2_X1,370.595,101.5,1.862,4.096,0,0,0
6606,_32896_,ch_ctrl,MUX2_X1,372.685,101.5,1.862,4.096,0,0,0
6607,_32897_,ch_ctrl,NAND2_X1,372.685,102.9,0.798,1.756,0,0,0
6608,_32898_,ch_ctrl,MUX2_X1,351.595,79.1,1.862,4.096,0,0,0
6609,_32899_,ch_ctrl,MUX2_X1,356.915,79.1,1.862,4.096,0,0,0
6610,_32900_,ch_ctrl,MUX2_X1,355.585,79.1,1.862,4.096,0,0,0
6611,_32901_,ch_ctrl,MUX2_X1,358.245,73.5,1.862,4.096,0,0,0
6612,_32902_,ch_ctrl,MUX2_X1,354.255,72.1,1.862,4.096,0,0,0
6613,_32903_,ch_ctrl,MUX2_X1,356.915,73.5,1.862,4.096,0,0,0
6614,_32904_,ch_ctrl,MUX2_X1,357.105,76.3,1.862,4.096,0,0,0
6615,_32905_,ch_ctrl,NOR2_X1,358.055,76.3,0.798,1.756,0,0,0
6616,_32906_,ch_ctrl,MUX2_X1,340.005,76.3,1.862,4.096,0,0,0
6617,_32907_,ch_ctrl,MUX2_X1,340.765,72.1,1.862,4.096,0,0,0
6618,_32908_,ch_ctrl,MUX2_X1,341.145,73.5,1.862,4.096,0,0,0
6619,_32909_,ch_ctrl,MUX2_X1,346.465,73.5,1.862,4.096,0,0,0
6620,_32910_,ch_ctrl,MUX2_X1,344.945,76.3,1.862,4.096,0,0,0
6621,_32911_,ch_ctrl,MUX2_X1,345.135,73.5,1.862,4.096,0,0,0
6622,_32912_,ch_ctrl,MUX2_X1,343.615,73.5,1.862,4.096,0,0,0
6623,_32913_,ch_ctrl,NOR2_X1,352.545,74.9,0.798,1.756,0,0,0
6624,_32914_,ch_ctrl,OR3_X1,359.005,76.3,1.33,2.926,0,0,0
6625,_32915_,ch_ctrl,NAND3_X1,372.02,102.9,1.064,2.341,0,0,0
6626,_32916_,ch_ctrl,MUX2_X1,374.585,114.1,1.862,4.096,0,0,0
6627,_32917_,ch_ctrl,MUX2_X1,378.765,114.1,1.862,4.096,0,0,0
6628,_32918_,ch_ctrl,MUX2_X1,376.485,114.1,1.862,4.096,0,0,0
6629,_32919_,ch_ctrl,MUX2_X1,376.105,108.5,1.862,4.096,0,0,0
6630,_32920_,ch_ctrl,MUX2_X1,380.665,108.5,1.862,4.096,0,0,0
6631,_32921_,ch_ctrl,MUX2_X1,377.435,108.5,1.862,4.096,0,0,0
6632,_32922_,ch_ctrl,MUX2_X1,376.865,112.7,1.862,4.096,0,0,0
6633,_32923_,ch_ctrl,MUX2_X1,361.855,115.5,1.862,4.096,0,0,0
6634,_32924_,ch_ctrl,MUX2_X1,361.475,112.7,1.862,4.096,0,0,0
6635,_32925_,ch_ctrl,MUX2_X1,363.755,112.7,1.862,4.096,0,0,0
6636,_32926_,ch_ctrl,MUX2_X1,366.415,112.7,1.862,4.096,0,0,0
6637,_32927_,ch_ctrl,MUX2_X1,368.885,108.5,1.862,4.096,0,0,0
6638,_32928_,ch_ctrl,MUX2_X1,368.125,111.3,1.862,4.096,0,0,0
6639,_32929_,ch_ctrl,MUX2_X1,368.315,112.7,1.862,4.096,0,0,0
6640,_32930_,ch_ctrl,MUX2_X1,369.645,112.7,1.862,4.096,0,0,0
6641,_32931_,ch_ctrl,MUX2_X1,376.865,126.7,1.862,4.096,0,0,0
6642,_32932_,ch_ctrl,MUX2_X1,382.565,125.3,1.862,4.096,0,0,0
6643,_32933_,ch_ctrl,MUX2_X1,377.815,125.3,1.862,4.096,0,0,0
6644,_32934_,ch_ctrl,MUX2_X1,375.915,121.1,1.862,4.096,0,0,0
6645,_32935_,ch_ctrl,MUX2_X1,380.665,119.7,1.862,4.096,0,0,0
6646,_32936_,ch_ctrl,MUX2_X1,377.815,121.1,1.862,4.096,0,0,0
6647,_32937_,ch_ctrl,MUX2_X1,377.625,122.5,1.862,4.096,0,0,0
6648,_32938_,ch_ctrl,MUX2_X1,363.945,121.1,1.862,4.096,0,0,0
6649,_32939_,ch_ctrl,MUX2_X1,367.745,121.1,1.862,4.096,0,0,0
6650,_32940_,ch_ctrl,MUX2_X1,365.655,121.1,1.862,4.096,0,0,0
6651,_32941_,ch_ctrl,MUX2_X1,365.085,126.7,1.862,4.096,0,0,0
6652,_32942_,ch_ctrl,MUX2_X1,370.405,125.3,1.862,4.096,0,0,0
6653,_32943_,ch_ctrl,MUX2_X1,369.075,125.3,1.862,4.096,0,0,0
6654,_32944_,ch_ctrl,MUX2_X1,369.455,121.1,1.862,4.096,0,0,0
6655,_32945_,ch_ctrl,MUX2_X1,371.355,121.1,1.862,4.096,0,0,0
6656,_32946_,ch_ctrl,MUX2_X1,370.595,116.9,1.862,4.096,0,0,0
6657,_32947_,ch_ctrl,OAI21_X1,371.64,116.9,1.064,2.341,0,0,0
6658,_32948_,ch_ctrl,OAI21_X1,371.07,172.9,1.064,2.341,0,0,0
6659,_32949_,ch_ctrl,MUX2_X1,377.245,174.3,1.862,4.096,0,0,0
6660,_32950_,ch_ctrl,NOR2_X1,321.005,172.9,0.798,1.756,0,0,0
6661,_32951_,ch_ctrl,AOI22_X1,322.145,172.9,1.33,2.926,0,0,0
6662,_32952_,ch_ctrl,MUX2_X1,311.315,80.5,1.862,4.096,0,0,0
6663,_32953_,ch_ctrl,MUX2_X1,313.405,83.3,1.862,4.096,0,0,0
6664,_32954_,ch_ctrl,MUX2_X1,312.075,83.3,1.862,4.096,0,0,0
6665,_32955_,ch_ctrl,MUX2_X1,310.745,90.3,1.862,4.096,0,0,0
6666,_32956_,ch_ctrl,MUX2_X1,317.395,90.3,1.862,4.096,0,0,0
6667,_32957_,ch_ctrl,MUX2_X1,313.405,90.3,1.862,4.096,0,0,0
6668,_32958_,ch_ctrl,MUX2_X1,313.405,84.7,1.862,4.096,0,0,0
6669,_32959_,ch_ctrl,MUX2_X1,303.715,81.9,1.862,4.096,0,0,0
6670,_32960_,ch_ctrl,MUX2_X1,308.845,80.5,1.862,4.096,0,0,0
6671,_32961_,ch_ctrl,MUX2_X1,306.755,81.9,1.862,4.096,0,0,0
6672,_32962_,ch_ctrl,MUX2_X1,304.095,86.1,1.862,4.096,0,0,0
6673,_32963_,ch_ctrl,MUX2_X1,304.665,90.3,1.862,4.096,0,0,0
6674,_32964_,ch_ctrl,MUX2_X1,306.185,86.1,1.862,4.096,0,0,0
6675,_32965_,ch_ctrl,MUX2_X1,307.515,84.7,1.862,4.096,0,0,0
6676,_32966_,ch_ctrl,MUX2_X1,314.735,84.7,1.862,4.096,0,0,0
