fit_scope,design,scenario,target,signoff_clean,k_sheet,k_bump,r2,mae_mv,rmse_mv,bias_mv,spearman,pearson,label_max_mv,n
ratio_sweep,orfs_ibex,bump_ratio=2,tile_mean,True,169.35367409197167,338.70734818394334,-0.8782673573356394,0.8607149734643383,1.1991719232683722,-0.3222002149065427,-0.12801774772701016,-0.21973599276269484,5.964354144736844,576
ratio_sweep,orfs_ibex,bump_ratio=2,tile_max,True,141.52215276305992,283.04430552611984,-0.9079396590152342,1.03900116115273,1.4482878770873497,-0.39403226849939105,-0.15400731869993242,-0.23894004396597088,6.9664980000000005,576
ratio_sweep,orfs_ibex,bump_ratio=5,tile_mean,True,165.65491485068995,828.2745742534497,-0.9233756505495876,0.8698933931542769,1.2134860916114207,-0.33986680377780587,-0.13000152258740175,-0.22237771267914463,5.964354144736844,576
ratio_sweep,orfs_ibex,bump_ratio=5,tile_max,True,138.45404449190497,692.2702224595248,-0.9539149180648581,1.0498448292942346,1.4656335639247684,-0.41544849630731956,-0.15596783210811035,-0.24164850565816523,6.9664980000000005,576
ratio_sweep,orfs_ibex,bump_ratio=10,tile_mean,True,164.4374964981951,1644.3749649819508,-0.9391815950311926,0.8730474383630495,1.2184619916255308,-0.34607442245804476,-0.13071809155484154,-0.22327444502094465,5.964354144736844,576
ratio_sweep,orfs_ibex,bump_ratio=10,tile_max,True,137.4445243828724,1374.445243828724,-0.97002039390057,1.0536232751932786,1.4716615346617714,-0.4229725050873023,-0.15664512492301697,-0.2425694375929114,6.9664980000000005,576
ratio_sweep,orfs_ibex,bump_ratio=50,tile_mean,True,163.4694354021736,8173.471770108679,-0.9521179994383198,0.8756027635517446,1.2225194549002678,-0.35116173244696197,-0.13136273047345318,-0.22399733754918905,5.964354144736844,576
ratio_sweep,orfs_ibex,bump_ratio=50,tile_max,True,136.64191005907358,6832.095502953679,-0.9832005156946704,1.0566923476910564,1.4765762918312024,-0.42913824822227337,-0.1572259666194648,-0.243312548793006,6.9664980000000005,576
ratio_sweep,orfs_ibex,bump_ratio=200,tile_mean,True,163.28851696681699,32657.703393363397,-0.9545730491064293,0.8760902817468491,1.2232879542756172,-0.35212787381759947,-0.13139224345725872,-0.22413340541958127,5.964354144736844,576
ratio_sweep,orfs_ibex,bump_ratio=200,tile_max,True,136.49192522398423,27298.385044796843,-0.9857016824686089,1.0572707489213835,1.477507110432652,-0.43030916095296334,-0.15727149204972696,-0.24345250097459806,6.9664980000000005,576
ratio_sweep,orfs_ibex,bump_ratio=1000,tile_mean,True,163.24030399433704,163240.30399433704,-0.9552293178984161,0.8762212988323169,1.2234933030427133,-0.35238617360726104,-0.1314164503833375,-0.22416971758426435,5.964354144736844,576
ratio_sweep,orfs_ibex,bump_ratio=1000,tile_max,True,136.45195649994275,136451.95649994275,-0.9863702720181331,1.057425146235454,1.4777558292315802,-0.43062220490691977,-0.15729921546691414,-0.24348985418723945,6.9664980000000005,576
ratio_sweep,orfs_gcd,bump_ratio=0.1,tile_mean,True,368.96650493098804,36.896650493098804,0.020829565336291322,1.6139985249346263,1.9103936466756621,0.006423949308084663,0.23347992939638662,0.18153793901072213,9.591748157894738,576
ratio_sweep,orfs_gcd,bump_ratio=0.1,tile_max,True,338.73427615888926,33.87342761588893,0.018478061611771457,1.6558451277782316,1.9843361179341057,0.0051863160465022914,0.2033074620220496,0.16069097194357168,9.593997368421054,576
ratio_sweep,orfs_gcd,bump_ratio=0.5,tile_mean,True,151.40498379694324,75.70249189847162,0.032901353447529536,1.5999988385154802,1.898580897782621,0.0010499963007197558,0.23347992939638662,0.1815379390107149,9.591748157894738,576
ratio_sweep,orfs_gcd,bump_ratio=0.5,tile_max,True,139.07185438585697,69.53592719292848,0.0253317697992137,1.6558360877807423,1.9773959341104885,-0.0032606410709261242,0.2033074620220496,0.16069097194356508,9.593997368421054,576
ratio_sweep,orfs_gcd,bump_ratio=1,tile_mean,True,124.32876329466231,124.32876329466231,0.03201483558636775,1.5981504114621907,1.8994508919338902,-0.005305848423012505,0.23347992939638662,0.18153793901071413,9.591748157894738,576
ratio_sweep,orfs_gcd,bump_ratio=1,tile_max,True,114.22330195241848,114.22330195241848,0.021967613428772625,1.6577928507580817,1.9808055757604761,-0.011138909496128602,0.2033074620220496,0.16069097194356435,9.593997368421054,576
ratio_sweep,orfs_gcd,bump_ratio=2,tile_mean,True,110.82360780561169,221.64721561122337,0.02974242339047861,1.5974960010723145,1.9016791312065469,-0.011001198357836226,0.23347992939638662,0.18153793901071366,9.591748157894738,576
ratio_sweep,orfs_gcd,bump_ratio=2,tile_max,True,101.8293139003469,203.6586278006938,0.017835073939584833,1.6601853155909219,1.984985973388729,-0.017992613354211217,0.2033074620220496,0.16069097194356396,9.593997368421054,576
ratio_sweep,orfs_gcd,bump_ratio=5,tile_mean,True,102.73607144046173,513.6803572023086,0.027243948494320325,1.5977410126749423,1.9041260292741033,-0.01582512735370952,0.23347992939638662,0.18153793901071386,9.591748157894738,576
ratio_sweep,orfs_gcd,bump_ratio=5,tile_max,True,94.4072252116846,472.036126058423,0.013900844952440927,1.6620248199753804,1.9889575999010334,-0.023717748244540517,0.2033074620220496,0.16069097194356413,9.593997368421054,576
ratio_sweep,orfs_gcd,bump_ratio=10,tile_mean,True,100.04345158823287,1000.4345158823287,0.026140806434190922,1.5979654717103469,1.905205398725057,-0.01775281278810146,0.23347992939638662,0.18153793901071336,9.591748157894738,576
ratio_sweep,orfs_gcd,bump_ratio=10,tile_max,True,91.93616227944024,919.3616227944024,0.012249473986156834,1.662851146069769,1.990622307180817,-0.025990976873112654,0.2033074620220496,0.1606909719435637,9.593997368421054,576
ratio_sweep,orfs_gcd,bump_ratio=50,tile_mean,True,97.89067141983952,4894.533570991976,0.02513934855924216,1.5982388142120008,1.9061847459967358,-0.019432315488484078,0.23347992939638662,0.18153793901071363,9.591748157894738,576
ratio_sweep,orfs_gcd,bump_ratio=50,tile_max,True,89.9605222084979,4498.026110424896,0.010780196691937083,1.6636204904315497,1.9921022807361612,-0.02796591648068785,0.2033074620220496,0.16069097194356383,9.593997368421054,576
ratio_sweep,orfs_gcd,bump_ratio=200,tile_mean,True,97.48716240584689,19497.432481169377,0.02493876837527831,1.5982993560903205,1.9063808372131887,-0.019761869934951323,0.23347992939638662,0.18153793901071313,9.591748157894738,576
ratio_sweep,orfs_gcd,bump_ratio=200,tile_max,True,89.59021597141576,17918.043194283153,0.010488812383866009,1.663769352804983,1.992395655678443,-0.028352874736851753,0.2033074620220496,0.16069097194356347,9.593997368421054,576
ratio_sweep,orfs_gcd,bump_ratio=1000,tile_mean,True,97.37956752501017,97379.56752501018,0.024884567099527133,1.5983155755210687,1.9064338220074721,-0.019850562949127255,0.23347992939638662,0.18153793901071386,9.591748157894738,576
ratio_sweep,orfs_gcd,bump_ratio=1000,tile_max,True,89.49147456230153,89491.47456230153,0.010410226362112751,1.663810480856012,1.9924747711759097,-0.028456986324238893,0.2033074620220496,0.1606909719435641,9.593997368421054,576
ratio_sweep,orfs_ssd_ctrl_cfg_small,bump_ratio=0.1,tile_mean,True,728.7140168736568,72.87140168736568,-0.4626657123607254,0.21075171255487496,0.2546566196261942,-0.03853189081266443,-0.22777851446841627,-0.20629343865935548,1.1723366513157893,576
ratio_sweep,orfs_ssd_ctrl_cfg_small,bump_ratio=0.1,tile_max,True,581.5542507991559,58.15542507991559,-0.4439104361917485,0.25766011350130974,0.31114895408826165,-0.0459454979534543,-0.20078205645610128,-0.17633147409164657,1.461241157894737,576
ratio_sweep,orfs_ssd_ctrl_cfg_small,bump_ratio=0.5,tile_mean,True,532.8529825662795,266.42649128313974,-0.8210394527182074,0.24032777433683208,0.28414636647175007,-0.07273954525192808,-0.22627263054637467,-0.2050050891119318,1.1723366513157893,576
ratio_sweep,orfs_ssd_ctrl_cfg_small,bump_ratio=0.5,tile_max,True,424.2556885968926,212.1278442984463,-0.8008210540417502,0.29417289281758713,0.34748294814478103,-0.0877982402993859,-0.19919425780273473,-0.17504969477816512,1.461241157894737,576
ratio_sweep,orfs_ssd_ctrl_cfg_small,bump_ratio=1,tile_mean,True,510.0486043966989,510.0486043966989,-0.8988107514397963,0.24589425197010187,0.2901504647210684,-0.08034990162713755,-0.22589904022074087,-0.20491510249670764,1.1723366513157893,576
ratio_sweep,orfs_ssd_ctrl_cfg_small,bump_ratio=1,tile_max,True,405.9011862589836,405.9011862589836,-0.878846504657181,0.3010717602538724,0.3549309474351284,-0.09714985391279565,-0.1988216406545469,-0.17494422464593168,1.461241157894737,576
